 t-Modal velocity.
 wavevector:          16 Branch:           1
 t_evo real  imag
   15.39000      2.381977219608407E-012  5.087188268759762E-012
   15.40500     -2.800781435768913E-012  1.545592647556535E-011
   15.42000     -6.104739556127278E-012  8.934033801457730E-012
   15.43500     -1.060125748386794E-012 -2.815574868383604E-012
   15.45000      7.467377306505880E-012 -9.967701381241668E-012
   15.46500      3.629916781213206E-012 -5.067652015280810E-012
   15.48000      2.489999632258334E-012  1.171914290677879E-012
   15.49500      5.842238048785524E-013  7.742443964386677E-012
   15.51000     -3.380136217095572E-012  5.350966696408403E-012
   15.52500     -3.244693578424986E-012 -3.368787852855441E-012
   15.54000     -1.536217014599242E-012 -1.229510153272854E-011
   15.55500      3.837533000801825E-012 -5.196097692007938E-012
   15.57000      3.839141922827737E-012  6.249497682753755E-013
   15.58500     -1.330663073959670E-012  6.449831632232523E-012
   15.60000     -5.325196588782014E-012  7.486518629519774E-012
   15.61500     -6.661797575464658E-012  3.390379682550762E-012
   15.63000     -8.501187260380508E-013 -1.295197422101942E-012
   15.64500      1.357744268238238E-012 -8.740716797575470E-012
   15.66000      6.749582768660250E-012 -4.309823746850342E-012
   15.67500      2.521608413491819E-012 -1.333368824340671E-012
   15.69000     -5.552917768922246E-013  4.186746563651856E-012
   15.70500     -2.792114294202628E-012  4.462609119763632E-013
   15.72000     -4.443746601256428E-012  2.115976276507797E-012
   15.73500     -4.120628367723661E-013  2.937270340264653E-012
   15.75000     -1.531970954241901E-012  6.517756211014911E-013
   15.76500      2.533438967837949E-012 -4.094118824636769E-012
   15.78000      3.381422805424800E-012 -4.680893039258649E-012
   15.79500     -3.324463445532452E-012 -3.735968105534230E-012
   15.81000     -5.360137070254124E-012  4.862388694598253E-012
   15.82500      3.735147826282625E-012  7.883601841313215E-012
   15.84000      5.837408234970958E-012  7.568902977684103E-012
   15.85500      4.658423546916536E-012  6.045303155785575E-013
   15.87000      3.538388139211999E-012 -7.630207696430227E-012
   15.88500      2.540744895093790E-012 -9.549858420224077E-012
   15.90000     -3.684106675886095E-012 -1.768282100829167E-012
   15.91500     -6.648809321355654E-012  6.003753551977465E-012
   15.93000     -7.989152604067667E-012  8.920627650652651E-012
   15.94500      9.485958892436796E-013  4.399862619399178E-012
   15.96000      1.000507558805964E-011 -3.027992243515441E-012
   15.97500      9.067518252491437E-012 -1.166990364529229E-011
   15.99000      9.241527332401227E-013 -9.648135997259520E-012
   16.00500     -8.151977135292097E-012  1.938052635437178E-015
   16.02000     -1.430856601461508E-011  1.423267068858052E-011
   16.03500     -1.376712286929014E-012  1.352944120179243E-011
   16.05000      9.367659582560776E-012 -9.567607052618123E-013
   16.06500      1.635105564630689E-011 -8.071312162428788E-012
   16.08000      3.598774122830317E-012 -7.919146729051714E-012
   16.09500     -1.297977443697640E-011 -2.785155838269455E-013
   16.11000     -1.420868304322117E-011  5.600894588848032E-012
   16.12500     -3.271568412161665E-012  5.611733007913029E-012
   16.14000      7.158826544341681E-012 -4.928967831505349E-012
   16.15500      1.174189233361769E-011 -5.402213213839822E-012
   16.17000      6.481918020998214E-012  3.188881580900383E-012
   16.18500     -2.084870224162509E-012  1.250246565655448E-013
   16.20000     -1.264107032906852E-011  1.688931347140770E-012
   16.21500     -1.154600722131843E-011 -4.691105718316780E-012
   16.23000      1.953069088870797E-012 -3.674986127598004E-012
   16.24500      1.020508425129764E-011  2.696180142295692E-014
   16.26000      8.882363672658277E-012  4.293848487731045E-012
   16.27500     -1.070128285575128E-012  7.078394898684788E-012
   16.29000     -9.463202239059067E-012  3.474082137735031E-012
   16.30500     -9.749566322307284E-012 -5.774478632460079E-012
   16.32000     -7.656028382664802E-014 -9.906740990470880E-012
   16.33500      1.328194475819060E-011 -7.869298862746059E-012
   16.35000      1.704617922215218E-011  2.544185621608347E-012
   16.36500      5.586441037930589E-012  1.630836779840872E-011
